hotel_name,hotel_area,poi_name,poi_category,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
Sample Hotel - Financial District,FiDi,Times Square,landmark,1.0,Broad St,Times Sq-42 St,0.64,2.91,11.78,15.33,64.54
Sample Hotel - Financial District,FiDi,Central Park,park,0.95,Broad St,81 St-Museum of Natural History,0.64,5.95,17.91,24.5,49.65
Sample Hotel - Financial District,FiDi,Empire State Building,landmark,0.95,Broad St,34 St-Herald Sq,0.64,2.87,10.34,13.86,67.3
Sample Hotel - Financial District,FiDi,Grand Central Terminal,transportation,0.9,Broad St,Grand Central-42 St,0.64,1.34,11.61,13.59,67.83
Sample Hotel - Financial District,FiDi,World Trade Center,landmark,0.9,Broad St,WTC Cortlandt,0.64,1.75,3.0,5.4,85.71
Sample Hotel - Financial District,FiDi,Brooklyn Bridge,landmark,0.85,Broad St,Fulton St,0.64,11.18,3.0,14.83,65.47
Sample Hotel - Financial District,FiDi,The Metropolitan Museum of Art,museum,0.85,Broad St,86 St,0.64,8.01,18.74,27.39,45.72
Sample Hotel - Financial District,FiDi,SoHo,shopping,0.75,Broad St,Canal St,0.64,3.51,3.73,7.88,79.84
Sample Hotel - Financial District,FiDi,Chelsea Market,food,0.7,Broad St,14 St,0.64,5.0,7.82,13.46,68.08
Sample Hotel - Financial District,FiDi,Williamsburg,nightlife/food,0.65,Broad St,Marcy Av,0.64,0.78,9.0,10.42,74.26
Sample Hotel - Upper West Side,Upper West Side,Times Square,landmark,1.0,86 St,Times Sq-42 St,2.44,2.91,7.46,12.81,69.36
Sample Hotel - Upper West Side,Upper West Side,Central Park,park,0.95,86 St,81 St-Museum of Natural History,2.44,5.95,3.0,11.39,72.22
Sample Hotel - Upper West Side,Upper West Side,Empire State Building,landmark,0.95,86 St,34 St-Herald Sq,2.44,2.87,8.91,14.23,66.6
Sample Hotel - Upper West Side,Upper West Side,Grand Central Terminal,transportation,0.9,86 St,Grand Central-42 St,2.44,1.34,8.2,11.98,71.02
Sample Hotel - Upper West Side,Upper West Side,World Trade Center,landmark,0.9,86 St,WTC Cortlandt,2.44,1.75,18.12,22.32,52.85
Sample Hotel - Upper West Side,Upper West Side,Brooklyn Bridge,landmark,0.85,86 St,Fulton St,2.44,11.18,18.35,31.97,40.11
Sample Hotel - Upper West Side,Upper West Side,The Metropolitan Museum of Art,museum,0.85,86 St,86 St,2.44,8.01,4.03,14.48,66.12
Sample Hotel - Upper West Side,Upper West Side,SoHo,shopping,0.75,86 St,Canal St,2.44,3.51,15.48,21.43,54.21
Sample Hotel - Upper West Side,Upper West Side,Chelsea Market,food,0.7,86 St,14 St,2.44,5.0,11.45,18.89,58.28
Sample Hotel - Upper West Side,Upper West Side,Williamsburg,nightlife/food,0.65,86 St,Marcy Av,2.44,0.78,18.12,21.35,54.34
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,Times Square,landmark,1.0,Jay St-MetroTech,Times Sq-42 St,1.43,2.91,14.19,18.52,58.91
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,Central Park,park,0.95,Jay St-MetroTech,81 St-Museum of Natural History,1.43,5.95,19.98,27.36,45.76
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,Empire State Building,landmark,0.95,Jay St-MetroTech,34 St-Herald Sq,1.43,2.87,12.77,17.06,61.41
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,Grand Central Terminal,transportation,0.9,Jay St-MetroTech,Grand Central-42 St,1.43,1.34,13.34,16.1,63.12
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,World Trade Center,landmark,0.9,Jay St-MetroTech,WTC Cortlandt,1.43,1.75,6.22,9.4,76.45
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,Brooklyn Bridge,landmark,0.85,Jay St-MetroTech,Fulton St,1.43,11.18,5.18,17.79,60.16
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,The Metropolitan Museum of Art,museum,0.85,Jay St-MetroTech,86 St,1.43,8.01,20.08,29.52,43.03
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,SoHo,shopping,0.75,Jay St-MetroTech,Canal St,1.43,3.51,7.63,12.57,69.83
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,Chelsea Market,food,0.7,Jay St-MetroTech,14 St,1.43,5.0,11.15,17.58,60.52
Sample Hotel - Downtown Brooklyn,Downtown Brooklyn,Williamsburg,nightlife/food,0.65,Jay St-MetroTech,Marcy Av,1.43,0.78,5.96,8.17,79.19
Sample Hotel - Long Island City,Long Island City,Times Square,landmark,1.0,Queensboro Plaza,Times Sq-42 St,0.11,2.91,7.85,10.87,73.31
Sample Hotel - Long Island City,Long Island City,Central Park,park,0.95,Queensboro Plaza,81 St-Museum of Natural History,0.11,5.95,8.72,14.78,65.55
Sample Hotel - Long Island City,Long Island City,Empire State Building,landmark,0.95,Queensboro Plaza,34 St-Herald Sq,0.11,2.87,8.05,11.03,72.96
Sample Hotel - Long Island City,Long Island City,Grand Central Terminal,transportation,0.9,Queensboro Plaza,Grand Central-42 St,0.11,1.34,6.18,7.63,80.41
Sample Hotel - Long Island City,Long Island City,World Trade Center,landmark,0.9,Queensboro Plaza,WTC Cortlandt,0.11,1.75,14.88,16.75,61.97
Sample Hotel - Long Island City,Long Island City,Brooklyn Bridge,landmark,0.85,Queensboro Plaza,Fulton St,0.11,11.18,14.45,25.75,47.91
Sample Hotel - Long Island City,Long Island City,The Metropolitan Museum of Art,museum,0.85,Queensboro Plaza,86 St,0.11,8.01,6.93,15.06,65.04
Sample Hotel - Long Island City,Long Island City,SoHo,shopping,0.75,Queensboro Plaza,Canal St,0.11,3.51,12.73,16.35,62.68
Sample Hotel - Long Island City,Long Island City,Chelsea Market,food,0.7,Queensboro Plaza,14 St,0.11,5.0,10.58,15.69,63.86
Sample Hotel - Long Island City,Long Island City,Williamsburg,nightlife/food,0.65,Queensboro Plaza,Marcy Av,0.11,0.78,9.85,10.74,73.58
Sample Hotel - Williamsburg,Williamsburg,Times Square,landmark,1.0,Marcy Av,Times Sq-42 St,7.3,2.91,11.63,21.83,53.59
Sample Hotel - Williamsburg,Williamsburg,Central Park,park,0.95,Marcy Av,81 St-Museum of Natural History,7.3,5.95,16.43,29.68,42.83
Sample Hotel - Williamsburg,Williamsburg,Empire State Building,landmark,0.95,Marcy Av,34 St-Herald Sq,7.3,2.87,10.48,20.65,55.43
Sample Hotel - Williamsburg,Williamsburg,Grand Central Terminal,transportation,0.9,Marcy Av,Grand Central-42 St,7.3,1.34,10.18,18.81,58.42
Sample Hotel - Williamsburg,Williamsburg,World Trade Center,landmark,0.9,Marcy Av,WTC Cortlandt,7.3,1.75,9.21,18.26,59.35
Sample Hotel - Williamsburg,Williamsburg,Brooklyn Bridge,landmark,0.85,Marcy Av,Fulton St,7.3,11.18,8.23,26.72,46.61
Sample Hotel - Williamsburg,Williamsburg,The Metropolitan Museum of Art,museum,0.85,Marcy Av,86 St,7.3,8.01,15.82,31.13,41.08
Sample Hotel - Williamsburg,Williamsburg,SoHo,shopping,0.75,Marcy Av,Canal St,7.3,3.51,8.79,19.6,57.12
Sample Hotel - Williamsburg,Williamsburg,Chelsea Market,food,0.7,Marcy Av,14 St,7.3,5.0,10.35,22.65,52.35
Sample Hotel - Williamsburg,Williamsburg,Williamsburg,nightlife/food,0.65,Marcy Av,Marcy Av,7.3,0.78,3.0,11.08,72.86
